sampleId	country	alabels	longitude	latitude	PC1	PC2
ind_21495	Italy	IT	12.5	42	-0.0472	-0.0146
ind_21595	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0183	0.0334
ind_22317	Portugal	PT	-8.0163924833239	39.5909680725474	-0.025	0.0358
ind_23107	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0227	0.0528
ind_23299	Italy	IT	12.5	42	-0.0309	-0.0136
ind_23938	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0188	0.0409
ind_23980	Swiss-French	CH	6.15	46.2	0.0094	0.0056
ind_24014	France	FR	2.39432767075193	46.6058680055316	-0.004	0.0117
ind_24338	Belgium	BE	4.61479191810973	50.6615342351454	0.0143	-0.001
ind_25016	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0201	0.0562
ind_25313	Swiss-French	CH	6.15	46.2	-2e-04	-7e-04
ind_25514	Swiss-French	CH	6.15	46.2	0.0055	0.0103
ind_25577	Italy	IT	12.5	42	-0.0541	-0.01
ind_26075	France	FR	2.39432767075193	46.6058680055316	0.0054	0.0168
ind_26184	Italy	IT	12.5	42	-0.0415	-0.0076
ind_26498	Swiss-French	CH	6.15	46.2	0.0015	-0.0027
ind_27479	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0151	0.0405
ind_27493	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0174	0.0443
ind_27630	Swiss-French	CH	6.15	46.2	0.0101	-4e-04
ind_28099	Swiss-German	CH	8.55	47.36	0.011	3e-04
ind_28100	Italy	IT	12.5	42	-0.0114	-0.0231
ind_28821	Italy	IT	12.5	42	-0.0625	-0.0184
ind_29066	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0164	0.0469
ind_29747	Italy	IT	12.5	42	-0.0228	-0.0103
ind_30783	Spain	ES	-3.56611484727657	40.3287080082217	-0.0192	0.0216
ind_30895	Spain	ES	-3.56611484727657	40.3287080082217	-0.0139	0.0324
ind_31072	Swiss-German	CH	8.55	47.36	0.0095	0.001
ind_31092	Spain	ES	-3.56611484727657	40.3287080082217	-0.0127	0.0253
ind_31367	Italy	IT	12.5	42	-0.0491	-0.0223
ind_31645	France	FR	2.39432767075193	46.6058680055316	0.0017	0.0191
ind_31651	France	FR	2.39432767075193	46.6058680055316	0.014	0.0158
ind_31847	Belgium	BE	4.61479191810973	50.6615342351454	0.0237	0.0018
ind_31848	France	FR	2.39432767075193	46.6058680055316	0.0128	0.0051
ind_31872	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0212	0.0286
ind_32230	Swiss-French	CH	6.15	46.2	0.0029	-0.0023
ind_32480	France	FR	2.39432767075193	46.6058680055316	0.0019	0.0119
ind_32963	Italy	IT	12.5	42	-0.0527	-0.0155
ind_33271	Spain	ES	-3.56611484727657	40.3287080082217	-0.0135	0.0335
ind_33586	Swiss-French	CH	6.15	46.2	0.0068	0.0087
ind_33679	Poland	PL	19.3946076487790	52.14189866452	0.0332	-0.0496
ind_33818	France	FR	2.39432767075193	46.6058680055316	-0.0072	0.0341
ind_33860	France	FR	2.39432767075193	46.6058680055316	0.0033	0.0084
ind_34585	Italy	IT	12.5	42	-0.0591	-0.0349
ind_34778	Italy	IT	12.5	42	-0.0144	3e-04
ind_35804	Swiss-German	CH	8.55	47.36	0.0129	-0.0145
ind_35925	France	FR	2.39432767075193	46.6058680055316	0.0116	0.009
ind_36237	Swiss-German	CH	8.55	47.36	0.0095	-0.0133
ind_36602	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0216	0.0524
ind_36647	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0295	0.0097
ind_37478	Swiss-French	CH	6.15	46.2	0.0017	0.0083
ind_37931	Swiss-German	CH	8.55	47.36	0.0165	-0.0116
ind_38215	Swiss-German	CH	8.55	47.36	0.0129	-0.0055
ind_38665	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0222	0.0415
ind_39038	Swiss-French	CH	6.15	46.2	0.007	-0.0064
ind_39429	Ireland	IE	-8.18040076502755	53.1966827266848	0.0372	0.0203
ind_39499	Swiss-German	CH	8.55	47.36	0.0046	-0.0036
ind_39883	Spain	ES	-3.56611484727657	40.3287080082217	-0.0205	0.0429
ind_40850	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0176	0.0343
ind_41098	Swiss-French	CH	6.15	46.2	0.0062	-0.0015
ind_41885	France	FR	2.39432767075193	46.6058680055316	0.0138	0.0079
ind_42214	Swiss-French	CH	6.15	46.2	0.0082	-0.0014
ind_42378	Spain	ES	-3.56611484727657	40.3287080082217	-0.0146	0.0472
ind_42551	Italy	IT	12.5	42	-0.0216	0.0034
ind_42634	Italy	IT	12.5	42	-0.0592	-0.0247
ind_42724	Swiss-German	CH	8.55	47.36	7e-04	0.0021
ind_42727	Swiss-Italian	CH	8.95	46	-0.0172	0.0024
ind_42944	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0226	0.0377
ind_42967	Serbia and Montenegro	RS	20.6157230848337	43.9494926410995	-0.0021	-0.052
ind_43011	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0205	0.0383
ind_43963	France	FR	2.39432767075193	46.6058680055316	0.0059	0.0144
ind_44002	Spain	ES	-3.56611484727657	40.3287080082217	-0.0105	0.0469
ind_44163	Swiss-French	CH	6.15	46.2	0.0056	0.0038
ind_44996	Italy	IT	12.5	42	-0.0528	-0.0213
ind_45501	Swiss-German	CH	8.55	47.36	0.0108	-0.0043
ind_45725	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0183	0.0365
ind_46166	Swiss-French	CH	6.15	46.2	0.0105	-0.0089
ind_46258	France	FR	2.39432767075193	46.6058680055316	0.0052	0.0071
ind_47833	Italy	IT	12.5	42	-0.0086	-4e-04
ind_48240	Poland	PL	19.3946076487790	52.14189866452	0.0198	-0.0367
ind_48693	Swiss-French	CH	6.15	46.2	0.0099	4e-04
ind_25	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0295	0.0043
ind_179	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0331	0.0161
ind_197	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0336	5e-04
ind_241	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0296	0.0059
ind_1145	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0318	0.0035
ind_2018	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0275	0.001
ind_2481	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0243	0.0057
ind_2630	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0414	0.0241
ind_2647	Ireland	IE	-8.18040076502755	53.1966827266848	0.0404	0.012
ind_3556	Scotland	Sct	-3.2	55.95	0.0315	-0.0012
ind_4164	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0314	0.0169
ind_4923	Austria	AT	14.1174253717318	47.59249681831	0.0233	-0.0472
ind_5052	Ireland	IE	-8.18040076502755	53.1966827266848	0.0403	0.0019
ind_5294	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0258	-7e-04
ind_5640	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0312	0.0067
ind_5888	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0352	0.0164
ind_6315	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0252	0.0015
ind_6417	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0321	-0.0026
ind_6639	Ireland	IE	-8.18040076502755	53.1966827266848	0.033	0.0187
ind_6709	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0324	0.0127
ind_7254	Ireland	IE	-8.18040076502755	53.1966827266848	0.0363	0.0162
ind_7293	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0373	0.0156
ind_7304	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0354	0.0094
ind_7318	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0325	0.0099
ind_7494	Germany	DE	10.3589016293772	51.0835556416166	0.0332	0.0092
ind_7868	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0379	0.0109
ind_11024	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.031	-0.001
ind_11174	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0236	-0.0014
ind_11219	Ireland	IE	-8.18040076502755	53.1966827266848	0.0393	0.0145
ind_11555	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.028	0.0038
ind_11635	Ireland	IE	-8.18040076502755	53.1966827266848	0.042	0.0063
ind_11974	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0303	0.0039
ind_12271	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0308	0.012
ind_12761	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0251	0.0126
ind_13477	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0326	0.0098
ind_13535	Ireland	IE	-8.18040076502755	53.1966827266848	0.0401	0.0151
ind_13560	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0311	-0.0076
ind_13765	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0369	0.0033
ind_13870	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0315	0.0022
ind_14348	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0364	0.0114
ind_16260	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0253	-7e-04
ind_16279	Ireland	IE	-8.18040076502755	53.1966827266848	0.0336	0.0137
ind_16507	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.02	-0.0049
ind_17828	Ireland	IE	-8.18040076502755	53.1966827266848	0.0351	0.0207
ind_18201	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0297	-0.0034
ind_18807	Ireland	IE	-8.18040076502755	53.1966827266848	0.0396	0.0075
ind_19088	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0387	0.015
ind_19249	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0279	9e-04
ind_19869	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0278	0.0069
ind_20618	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0242	-0.0018
ind_20674	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0277	-0.002
ind_20748	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0172	0.0121
ind_20999	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0322	-0.001
ind_21279	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0302	-0.0012
ind_21713	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0333	0.0013
ind_22374	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0258	0.0216
ind_22677	Ireland	IE	-8.18040076502755	53.1966827266848	0.0385	0.0089
